dataset,binarization,secret_bits,rep_factor,pair_type,enroll_subject,query_subject,enroll_sample,query_sample,hamming_distance,hamming_ratio_pct,errors_corrected,hash_matched,auth_status
Fingerprint_dataset_60,Median,64,32,imposter,3,13,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,14,1,1,576,28.12,576,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,15,1,1,628,30.66,628,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,16,1,1,562,27.44,562,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,17,1,1,624,30.47,624,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,18,1,1,648,31.64,648,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,19,1,1,586,28.61,586,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,20,1,1,600,29.3,600,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,21,1,1,620,30.27,620,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,22,1,1,558,27.25,558,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,23,1,1,570,27.83,570,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,24,1,1,562,27.44,562,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,25,1,1,618,30.18,618,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,26,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,27,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,28,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,29,1,1,646,31.54,646,True,ACCEPT
Fingerprint_dataset_60,Median,64,32,imposter,3,30,1,1,1024,50.0,882,False,REJECT
Fingerprint_dataset_60,Median,64,32,imposter,3,31,1,1,602,29.39,602,True,ACCEPT
